Shane Watson,Abhishek Nayar,0.5,0.5,0,0,0,0,0,4
Virat Kohli,Abhishek Nayar,0.222222224,0.444444448,0,0,0.222222224,0.111111112,0,9
Virender Sehwag,Abhishek Nayar,0,0.571428597,0.142857149,0,0.142857149,0.142857149,0,7
VVS Laxman,Abhishek Nayar,0,1,0,0,0,0,0,2
Wriddhiman Saha,Abhishek Nayar,0,0.5,0.25,0,0.25,0,0,4
Yogesh Nagar,Abhishek Nayar,0,0.25,0,0,0.25,0.25,0.25,4
Venugopal Rao,Abhishek Nayar,0.200000003,0.600000024,0.200000003,0,0,0,0,5
Yashpal Singh,Abhishek Nayar,0,1,0,0,0,0,0,3
Yuvraj Singh,Abhishek Nayar,0.333333343,0.5,0,0,0.166666672,0,0,6
AB de Villiers,Abhishek Raut,0.200000003,0.400000006,0,0,0.400000006,0,0,5
D du Preez,Abhishek Raut,0.25,0.5,0.25,0,0,0,0,4
Dwayne Smith,Abhishek Raut,0,1,0,0,0,0,0,2
Dinesh Karthik,Abhishek Raut,0.5,0.5,0,0,0,0,0,2
Roelof van der Merwe,Abhishek Raut,0,1,0,0,0,0,0,2
Rohit Sharma,Abhishek Raut,0.400000006,0.400000006,0,0,0.200000003,0,0,5
Shaun Marsh,Abhishek Raut,0.25,0.25,0.25,0,0.25,0,0,4
Tirumalasetti Suman,Abhishek Raut,0,1,0,0,0,0,0,1
Tillakaratne Dilshan,Abhishek Raut,1,0,0,0,0,0,0,1
Chaminda Vaas,Abhishek Raut,0,0.25,0.5,0,0,0.25,0,4
Amit Mishra,Abu Nechim,0.25,0.75,0,0,0,0,0,4
AB de Villiers,Abu Nechim,0.285714298,0.571428597,0,0,0,0.142857149,0,7
Andre Russell,Abu Nechim,0.400000006,0.200000003,0,0,0.200000003,0.200000003,0,5
Aaron Finch,Abu Nechim,0.400000006,0,0.200000003,0,0.400000006,0,0,5
Abhishek Nayar,Abu Nechim,0,0.75,0,0,0,0,0.25,4
Bhuvneshwar Kumar,Abu Nechim,0,0,0.5,0,0,0,0.5,2
Brendon McCullum,Abu Nechim,0,1,0,0,0,0,0,2
Chris Gayle,Abu Nechim,0.200000003,0.200000003,0.100000001,0,0.300000012,0.200000003,0,10
Cameron White,Abu Nechim,0.75,0.25,0,0,0,0,0,4
David Warner,Abu Nechim,0.333333343,0.416666657,0,0,0.083333336,0.166666672,0,12
Debabrata Das,Abu Nechim,0.5,0.5,0,0,0,0,0,2
David Hussey,Abu Nechim,0.333333343,0.666666687,0,0,0,0,0,3
Dwayne Smith,Abu Nechim,0.75,0.25,0,0,0,0,0,4
Dan Christian,Abu Nechim,0.400000006,0.200000003,0.200000003,0,0,0.200000003,0,5
Dale Steyn,Abu Nechim,0,1,0,0,0,0,0,2
Eoin Morgan,Abu Nechim,0.5,0,0,0,0,0,0.5,2
Gautam Gambhir,Abu Nechim,0.200000003,0.5,0,0,0.100000001,0.100000001,0.100000001,10
Hardik Pandya,Abu Nechim,0.200000003,0.200000003,0.200000003,0,0,0.400000006,0,5
Harbhajan Singh,Abu Nechim,1,0,0,0,0,0,0,1
Jesse Ryder,Abu Nechim,0.666666687,0,0,0,0,0,0.333333343,3
Jacques Kallis,Abu Nechim,0.625,0.25,0,0,0.0625,0.0625,0,16
JP Duminy,Abu Nechim,0.5,0.333333343,0,0,0.166666672,0,0,6
Kumar Sangakkara,Abu Nechim,0.142857149,0.571428597,0.142857149,0,0.142857149,0,0,7
Lokesh Rahul,Abu Nechim,0.142857149,0.428571433,0.285714298,0,0.142857149,0,0,7
Kedar Jadhav,Abu Nechim,0.111111112,0.333333343,0.111111112,0,0.333333343,0.111111112,0,9
Kevin Pietersen,Abu Nechim,0.166666672,0.833333313,0,0,0,0,0,6
Luke Pomersbach,Abu Nechim,0,1,0,0,0,0,0,2
Lendl Simmons,Abu Nechim,0.25,0.25,0,0,0.5,0,0,4
Murali Kartik,Abu Nechim,0,0.666666687,0,0,0.333333343,0,0,3
Mithun Manhas,Abu Nechim,0,0,0,0,0,0,1,1
Murali Vijay,Abu Nechim,0.636363626,0.090909094,0,0,0.181818187,0.090909094,0,11
Mayank Agarwal,Abu Nechim,0.166666672,0.666666687,0,0,0,0,0.166666672,6
