Player,Pos,Mat,Inns,NO,Runs,HS,Avg,BF,SR,Hundreds,Fifties,Fours,Sixes,CLUSTER
Kushal Janith Perera,333,2,2,0,14,14,7.0,13,107.69,0,0,3,0,0
R Bishnoi,309,3,3,0,19,18,6.33,17,111.76,0,0,1,2,0
Shalabh Srivastava,373,14,4,3,5,3,5.0,5,100.0,0,0,0,0,0
VRV Singh,378,19,2,0,4,4,2.0,3,133.33,0,0,1,0,0
Michael Klinger,218,4,4,0,73,29,18.25,77,94.8,0,0,9,0,0
Mohit Sharma,227,61,15,7,61,21,7.62,52,117.3,0,0,4,3,0
Shivnarine Chanderpaul,287,3,3,0,25,16,8.33,31,80.64,0,0,4,0,0
Varun Aaron,254,36,8,5,42,17,14.0,45,93.33,0,0,2,2,0
Wayne Parnell,223,26,13,4,63,16,7.0,75,84.0,0,0,4,1,0
Andrew Flintoff,226,3,3,1,62,24,31.0,53,116.98,0,0,5,2,0
Dinesh Salunkhe,276,6,3,1,33,26,16.5,24,137.5,0,0,5,0,0
Dominic Thornely,260,6,4,2,39,30,19.5,53,73.58,0,0,2,2,0
Muttiah Muralitharan,303,66,9,3,20,6,3.33,30,66.66,0,0,1,0,0
Tanmay Srivastava,361,7,3,2,8,7,8.0,11,72.72,0,0,0,0,0
Ravi Rampaul,237,12,7,2,51,23,10.2,50,102.0,0,0,3,2,0
Martin Guptill,228,3,3,0,57,48,19.0,55,103.63,0,0,3,3,0
JJ van der Wath,321,3,3,1,18,14,9.0,16,112.5,0,0,1,1,0
Yuzvendra Chahal,399,43,4,4,2,1,0.0,2,100.0,0,0,0,0,0
Azhar Bilakhia,220,7,7,2,69,22,13.8,85,81.17,0,0,5,0,0
Nathan Rimmington,408,1,1,1,1,1,0.0,1,100.0,0,0,0,0,0
Rilee Rossouw,232,5,5,0,53,24,10.6,51,103.92,0,0,3,3,0
Ramesh Powar,221,27,10,7,67,28,22.33,64,104.68,0,0,6,1,0
Ramnaresh Sarwan,219,4,4,0,73,31,18.25,75,97.33,0,0,6,1,0
