Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
67,Imran Tahir,20,20,72.2,623,29,Apr-28,21.48,8.61,14.96,1,0
68,Ajit Agarkar,42,42,130.2,1151,29,Mar-25,39.68,8.83,26.96,0,0
69,Daniel Vettori,34,34,129.3,879,28,Mar-15,31.39,6.78,27.75,0,0
70,Dirk Nannes,29,29,107.4,785,28,Mar-27,28.03,7.29,23.07,0,0
71,Pravin Tambe,33,33,110,853,28,Apr-20,30.46,7.75,23.57,1,0
72,Amit Singh,23,23,78.5,620,28,Apr-19,22.14,7.86,16.89,1,0
73,MF Maharoof,20,20,70,520,27,Mar-34,19.25,7.42,15.55,0,0
74,Angelo Mathews,46,42,126.5,1023,27,Apr-19,37.88,8.06,28.18,1,0
75,Wayne Parnell,26,26,95.2,701,26,Mar-27,26.96,7.35,22,0,0
76,Jasprit Bumrah,31,31,113.4,961,26,Mar-13,36.96,8.45,26.23,0,0
77,Johan Botha,34,34,115.4,800,25,03-Jun,32,6.91,27.76,0,0
78,Brett Lee,38,38,145.5,1095,25,Mar-15,43.8,7.5,35,0,0
79,Harmeet Singh Bansal,27,26,84.3,674,25,Mar-24,26.96,7.97,20.28,0,0
80,Suresh Raina,147,62,138.2,1010,24,2/0,42.08,7.3,34.58,0,0
81,JP Duminy,77,47,110,798,23,Apr-17,34.69,7.25,28.69,1,0
82,Brad Hogg,21,21,76.2,570,23,Apr-29,24.78,7.46,19.91,1,0
83,Shaun Tait,21,21,78.5,640,23,Mar-13,27.82,8.11,20.56,0,0
84,Sohail Tanvir,11,11,41.1,266,22,Jun-14,12.09,6.46,11.22,1,1
85,Ben Hilfenhaus,17,17,62,479,22,Mar-27,21.77,7.72,16.9,0,0
86,Roelof van der Merwe,21,21,73.5,498,21,Mar-20,23.71,6.74,21.09,0,0
87,Nathan Coulter-Nile,18,17,65.3,491,21,Apr-20,23.38,7.49,18.71,1,0
88,Yo Mahesh,18,17,56.3,499,21,Apr-36,23.76,8.83,16.14,1,0
89,Andrew Symonds,39,30,87.5,674,20,Mar-21,33.7,7.67,26.35,0,0
