Vinay Kumar,6,102,101,346.4,2870,101,4/40,28.41,8.27,20.59,1,0,4
Harbhajan Singh,5,125,123,445.3,3119,119,5/18,26.21,7.0,22.46,1,1,4
DJ Bravo,3,106,103,336.2,2754,122,4/22,22.57,8.18,16.54,2,0,4
A Mishra,2,112,112,401.0,2918,124,5/17,23.53,7.27,19.4,3,1,4
Piyush Chawla,4,123,122,407.1,3082,120,4/17,25.68,7.56,20.35,2,0,4
P Kumar,16,113,113,404.1,3100,84,3/18,36.9,7.67,28.86,0,0,4
Suresh Raina,80,147,62,138.2,1010,24,2/0,42.08,7.3,34.58,0,0,5
Angelo Mathews,74,46,42,126.5,1023,27,4/19,37.88,8.06,28.18,1,0,5
Ryan Harris,40,37,37,138.4,1047,45,4/34,23.26,7.55,18.48,1,0,5
HV Patel,61,35,33,109.5,928,31,2/12,29.93,8.44,21.25,0,0,5
Jasprit Bumrah,76,31,31,113.4,961,26,3/13,36.96,8.45,26.23,0,0,5
Shahbaz Nadeem,59,48,46,168.0,1200,31,3/16,38.7,7.14,32.51,0,0,5
Pradeep Sangwan,65,33,33,113.4,975,30,3/18,32.5,8.57,22.73,0,0,5
Shakib Al Hasan,41,42,41,150.3,1070,43,3/17,24.88,7.1,21.0,0,0,5
Parvinder Awana,48,33,33,124.3,1029,39,4/34,26.38,8.26,19.15,1,0,5
Thisara Perera,63,37,36,116.2,1016,31,3/20,32.77,8.73,22.51,0,0,5
Ajit Agarkar,68,42,42,130.2,1151,29,3/25,39.68,8.83,26.96,0,0,5
Rahul Sharma,45,44,44,154.4,1086,40,3/13,27.15,7.02,23.2,0,0,5
CH Morris,44,39,39,136.0,1020,41,4/23,24.87,7.5,19.9,1,0,5
Jaydev Unadkat,58,35,34,117.3,986,32,5/25,30.81,8.39,22.03,0,1,5
Karn Sharma,53,46,46,141.4,1109,36,4/38,30.8,7.82,23.61,1,0,5
Yuvraj Singh,54,108,69,140.5,1032,35,4/29,29.48,7.32,24.14,2,0,5
Axar Patel,42,45,45,160.3,1185,43,4/21,27.55,7.38,22.39,1,0,5
Shanthakumaran Sreesanth,47,44,44,146.4,1194,40,3/29,29.85,8.14,22.0,0,0,5
Iqbal Abdulla,49,47,46,148.2,1054,38,3/24,27.73,7.1,23.42,0,0,5
Moises Henriques,51,45,43,124.2,996,37,3/16,26.91,8.01,20.16,0,0,5
Sandeep Sharma,35,43,43,156.1,1189,54,4/25,22.01,7.61,17.35,1,0,5
Anil Kumble,39,42,42,160.5,1058,45,5/5,23.51,6.57,21.44,2,1,5
VR Aaron,64,36,34,120.4,1056,31,3/16,34.06,8.75,23.35,0,0,5
Brett Lee,78,38,38,145.5,1095,25,3/15,43.8,7.5,35.0,0,0,5
Harmeet Singh Bansal,79,27,26,84.3,674,25,3/24,26.96,7.97,20.28,0,0,6
S Aravind,46,28,28,96.1,764,40,4/14,19.1,7.94,14.42,2,0,6
PV Tambe,71,33,33,110.0,853,28,4/20,30.46,7.75,23.57,1,0,6
Andre Russell,62,34,34,105.1,896,31,4/20,28.9,8.51,20.35,1,0,6
CH Gayle,97,92,37,91.3,724,18,3/21,40.22,7.91,30.5,0,0,6
Doug Bollinger,50,27,27,96.0,693,37,4/13,18.72,7.21,15.56,1,0,6
Kevon Cooper,57,25,25,96.0,757,33,4/26,22.93,7.88,17.45,1,0,6
Dirk Nannes,70,29,29,107.4,785,28,3/27,28.03,7.29,23.07,0,0,6
Tim Southee,93,26,26,100.0,818,19,3/24,43.05,8.18,31.57,0,0,6
Andrew Symonds,89,39,30,87.5,674,20,3/21,33.7,7.67,26.35,0,0,6
Daniel Vettori,69,34,34,129.3,879,28,3/15,31.39,6.78,27.75,0,0,6
Mitchell McClenaghan,55,26,26,100.2,822,35,4/21,23.48,8.19,17.2,1,0,6
Mohammed Shami,99,31,30,95.1,843,18,2/20,46.83,8.85,31.72,0,0,6
Azhar Mahmood,66,23,23,89.3,700,29,3/20,24.13,7.82,18.51,0,0,6
Shaun Tait,83,21,21,78.5,640,23,3/13,27.82,8.11,20.56,0,0,6
Dan Christian,92,23,23,78.4,638,19,2/13,33.57,8.11,24.84,0,0,6
STR Binny,101,72,53,84.0,631,17,2/14,37.11,7.51,29.64,0,0,6
Amit Singh,72,23,23,78.5,620,28,4/19,22.14,7.86,16.89,1,0,6
Mitchell Starc,56,27,26,96.4,693,34,4/15,20.38,7.16,17.05,1,0,6
Imran Tahir,67,20,20,72.2,623,29,4/28,21.48,8.61,14.96,1,0,6
Johan Botha,77,34,34,115.4,800,25,3/6,32.0,6.91,27.76,0,0,6
Wayne Parnell,75,26,26,95.2,701,26,3/27,26.96,7.35,22.0,0,0,6
JP Duminy,81,77,47,110.0,798,23,4/17,34.69,7.25,28.69,1,0,6
Rishi Dhawan,96,26,25,81.2,640,18,2/14,35.55,7.86,27.11,0,0,6
Dilhara Fernando,102,10,10,39.0,298,17,4/18,17.52,7.64,13.76,1,0,7
Corey Anderson,197,16,11,22.0,217,5,2/18,43.4,9.86,26.4,0,0,7
Jaskaran Singh,185,8,7,17.0,171,6,2/18,28.5,10.05,17.0,0,0,7
Vikramjeet Malik,175,13,13,34.1,261,6,2/14,43.5,7.63,34.16,0,0,7
Deepak Hooda,205,31,13,28.1,226,4,2/16,56.5,8.02,42.25,0,0,7
Sarabjit Ladda,196,9,9,23.0,224,5,2/44,44.8,9.73,27.6,0,0,7
Paul Valthaty,167,23,10,25.1,205,7,4/29,29.28,8.14,21.57,1,0,7
Makhaya Ntini,163,9,9,35.0,242,7,4/21,34.57,6.91,30.0,1,0,7
Rahul Shukla,199,7,7,20.0,208,5,2/28,41.6,10.4,24.0,0,0,7
Juan Theron,147,10,10,36.0,293,9,2/17,32.55,8.13,24.0,0,0,7
Brad Hodge,103,66,20,39.0,303,17,4/13,17.82,7.76,13.76,1,0,7
Suraj Randiv,176,8,8,29.0,223,6,2/24,37.16,7.68,29.0,0,0,7
Dimitri Mascarenhas,91,13,13,51.2,356,19,5/25,18.73,6.93,16.21,0,1,7
Murugan Ashwin,169,10,10,28.3,241,7,3/36,34.42,8.45,24.42,0,0,7
Sumit Narwal,200,7,6,17.4,202,5,3/36,40.4,11.43,21.2,0,0,7
Anand Rajan,158,8,8,24.5,201,8,3/27,25.12,8.09,18.62,0,0,7
Kevin Pietersen,164,36,13,29.0,215,7,2/31,30.71,7.41,24.85,0,0,7
CJ Jordan,135,9,9,28.0,258,11,4/11,23.45,9.21,15.27,1,0,7
Ankeet Chavan,157,13,13,41.2,326,8,2/23,40.75,7.88,31.0,0,0,7
Marcus Stoinis,159,7,7,23.0,194,8,4/15,24.25,8.43,17.25,1,0,7
Tillakaratne Dilshan,193,52,25,45.1,366,5,1/7,73.2,8.1,54.2,0,0,7
Ashish Reddy,106,31,19,40.4,364,17,3/25,21.41,8.95,14.35,0,0,7
Trent Boult,138,8,8,32.0,275,10,3/19,27.5,8.59,19.2,0,0,7
Venugopal Rao,184,65,20,36.0,337,6,2/23,56.16,9.36,36.0,0,0,7
Darren Sammy,134,22,19,39.2,350,11,4/22,31.81,8.89,21.45,1,0,7
SB Bangar,211,12,9,25.0,219,4,2/34,54.75,8.76,37.5,0,0,7
Karanveer Singh,128,9,9,34.0,321,12,4/54,26.75,9.44,17.0,1,0,7
Ajantha Mendis,153,10,10,40.0,285,8,2/19,35.62,7.12,30.0,0,0,7
Jagadeesha Suchith,140,14,13,41.0,368,10,2/14,36.8,8.97,24.6,0,0,7
Parvez Rasool,207,11,11,33.0,271,4,1/20,67.75,8.21,49.5,0,0,7
Sudeep Tyagi,181,14,14,34.5,295,6,2/18,49.16,8.46,34.83,0,0,7
RR Raje,183,10,10,23.1,209,6,2/16,34.83,9.02,23.16,0,0,7
Kyle Abbott,251,5,5,16.0,177,2,1/38,88.5,11.06,48.0,0,0,7
Tirumalasetti Suman,178,43,11,25.0,197,6,2/14,32.83,7.88,25.0,0,0,7
Syed Mohammad,160,11,11,32.0,283,8,2/15,35.37,8.84,24.0,0,0,7
Kamran Khan,148,9,9,26.4,224,9,3/18,24.88,8.4,17.77,0,0,7
Shaun Pollock,131,13,13,46.0,301,11,3/12,27.36,6.54,25.09,0,0,7
P Amarnath,172,6,6,22.0,236,7,2/29,33.71,10.72,18.85,0,0,7
Balachandra Akhil,177,15,13,31.2,242,6,2/17,40.33,7.72,31.33,0,0,7
KC Cariappa,215,6,6,19.0,187,4,2/16,46.75,9.84,28.5,0,0,7
Shivam Sharma,209,5,5,19.0,165,4,2/26,41.25,8.68,28.5,0,0,7
Andrew McDonald,132,11,10,31.0,261,11,2/25,23.72,8.41,16.9,0,0,7
Rajagopal Sathish,228,34,14,23.1,232,3,1/11,77.33,10.01,46.33,0,0,7
S Kaushik,180,7,7,23.0,192,6,3/20,32.0,8.34,23.0,0,0,7
Abhishek Nayar,149,60,19,38.1,322,9,3/13,35.77,8.43,25.44,0,0,7
Ali Murtaza,142,12,12,44.0,313,9,3/15,34.77,7.11,29.33,0,0,7
CR Brathwaite,168,8,8,23.1,189,7,3/47,27.0,8.15,19.85,0,0,7
Sohail Tanvir,84,11,11,41.1,266,22,6/14,12.09,6.46,11.22,1,1,7
Aavishkar Salvi,165,7,7,25.0,200,7,2/19,28.57,8.0,21.42,0,0,7
Siddarth Kaul,182,11,11,34.5,296,6,2/27,49.33,8.49,34.83,0,0,7
Ravi Bopara,133,24,14,34.2,292,11,3/31,26.54,8.5,18.72,0,0,7
Sachithra Senanayake,141,8,8,32.0,209,9,2/26,23.22,6.53,21.33,0,0,7
Glenn McGrath,121,14,14,54.0,357,12,4/29,29.75,6.61,27.0,1,0,7
Jesse Ryder,156,29,16,39.2,303,8,2/14,37.87,7.7,29.5,0,0,7
Virender Sehwag,186,104,15,22.4,235,6,2/18,39.16,10.36,22.66,0,0,7
Umar Gul,125,6,6,22.3,184,12,4/23,15.33,8.17,11.25,1,0,7
Shane Bond,143,8,8,31.0,224,9,2/24,24.88,7.22,20.66,0,0,7
Hardik Pandya,214,20,18,33.4,329,4,1/7,82.25,9.77,50.5,0,0,7
Marlon Samuels,145,10,9,32.4,250,9,3/39,27.77,7.65,21.77,0,0,7
Abu Nechim,170,10,10,35.2,303,7,2/27,43.28,8.57,30.28,0,0,7
Chaminda Vaas,94,13,13,47.0,355,18,3/21,19.72,7.55,15.66,0,0,7
